entity,year,emissions_kg,emissions_1000kcal,emissions_100g_protein,emissions_100g_fat,land_use_kg,land_use_1000kcal,Land use per 100 grams of protein,Land use per 100 grams of fat,Bananas index (kg),Bananas index (1000 kcalories),Bananas index (100g protein),Chart?,type,Banana values,
Cauliflower,2022,0.89172625,2.59549248,3.56438766,20.8749034,0.78834371,2.27950072,3.13115253,18.5223165,1.021041609,2.963558842,0.461596518,TRUE,1,,
Cereal bars,2022,2.85338416,0.72947205,4.12426833,2.12484012,5.56058833,1.36948407,7.42170558,3.66701069,3.267173029,0.832918362,0.534102371,TRUE,3,,
Cheddar cheese,2022,20.7490445,5.40619334,8.72114404,6.69323915,24.4510371,6.35302557,11.783915,7.83001591,23.7580062,6.172844729,1.129408501,TRUE,3,,
Cheesecake,2022,2.36930184,0.69942948,5.22740337,1.17347985,2.5869832,0.76463452,5.73191688,1.28229739,2.712890601,0.79861546,0.676960933,TRUE,3,,
Cherry tomatoes,2022,2.26636,12.1734304,31.0345282,81.3973982,0.93035308,4.84547502,12.5937763,32.925505,2.595020457,13.89974257,4.01904381,TRUE,1,,
Chia seeds,2022,1.2205535,0.34137155,0.62592487,0.4588547,3.4277066,0.95868106,1.75779826,1.2886115,1.397554361,0.389781393,0.081058731,TRUE,1,,
Chicken breast,2022,9.27232331,5.83048636,4.51843353,27.7162897,9.22095892,5.79603881,4.49371038,27.5187368,10.61696671,6.657306673,0.585147684,TRUE,2,,
Chicken burger,2022,5.43448685,2.32961478,3.66176962,4.58212795,6.0534075,2.56024628,4.2198927,5.09069129,6.222579179,2.659977069,0.474207709,TRUE,2,,
Chicken sausages,2022,8.16430249,4.02015466,5.40088115,6.9176503,8.33055524,4.07447041,5.52311288,6.97665628,9.348264166,4.590252132,0.69942671,TRUE,2,,
Chicken thighs,2022,9.9818813,5.09522669,5.3445009,7.67264837,9.85175386,5.02346705,5.27061972,7.56874898,11.42942259,5.81777995,0.692125336,TRUE,2,,
Chicken wings,2022,9.58345622,4.65031069,5.10515333,6.96977684,9.50696986,4.6135405,5.06385996,6.93875498,10.97321914,5.309770485,0.661129267,TRUE,2,,
Chickpeas,2022,1.34435287,0.5948603,0.96360103,5.13340978,15.5656081,5.9135444,9.25936758,46.3057314,1.539306729,0.679217341,0.124788582,TRUE,1,,
Chilli con carne,2022,13.5408049,7.8444026,17.6884343,13.0054585,28.3046847,16.3987914,36.9751919,27.1883933,15.50445018,8.956816044,2.290693512,TRUE,2,,
Chocolate biscuits,2022,5.083679,1.21746275,10.3443534,4.41377387,13.5654222,3.01261945,18.1322803,8.39943397,5.820898269,1.390110943,1.3396179,TRUE,3,,
Chocolate cake,2022,3.95211788,0.97752008,8.99338741,2.115364,10.3308076,2.65247521,17.3896164,6.99693743,4.525241685,1.116142042,1.164664653,TRUE,3,,
